Date,actual_return,pred_return,residual
2021-03-19,-0.04195487,0.014202033,-0.056156904
2021-03-22,-0.016049232,0.012496098,-0.028545331
2021-03-23,-0.040431198,0.0104730865,-0.050904285
2021-03-24,-0.012430909,0.012671755,-0.025102664
2021-03-25,0.00057751127,0.023443898,-0.022866387
2021-03-26,-0.00518879,0.021157835,-0.026346624
2021-03-30,-0.013034018,0.01461314,-0.027647158
2021-03-31,0.0011233068,0.011336247,-0.010212941
2021-04-01,-0.019684948,0.011980179,-0.031665128
2021-04-05,-0.04087614,0.012879058,-0.053755198
2021-04-06,-0.026457729,0.016021565,-0.04247929
2021-04-07,-0.029233344,0.0031628031,-0.032396145
2021-04-08,-0.036527254,0.002050877,-0.03857813
2021-04-09,-0.040538933,0.0016575499,-0.042196482
2021-04-12,-0.0052325795,-0.001658279,-0.0035743006
2021-04-13,-0.013148425,0.007938056,-0.02108648
2021-04-15,-0.020547222,0.007901126,-0.028448347
2021-04-16,0.0029760469,0.010357208,-0.0073811607
2021-04-19,0.045722317,0.004778358,0.040943958
2021-04-20,0.05057458,0.0049292087,0.04564537
2021-04-22,0.061713323,-6.38433e-05,0.061777167
2021-04-23,0.04733899,0.0034934813,0.04384551
2021-04-26,0.010940016,-0.009196383,0.0201364
2021-04-27,-0.036230627,-0.009221,-0.027009629
2021-04-28,-0.03865217,-0.0017061365,-0.036946032
2021-04-29,-0.04597224,-0.006691112,-0.039281126
2021-04-30,-0.03146153,-0.0033322833,-0.028129246
2021-05-03,-0.016768314,0.0012801718,-0.018048486
2021-05-04,0.008635136,0.0034851176,0.0051500187
2021-05-05,-0.003619556,0.0073466036,-0.010966159
2021-05-06,0.0032625713,0.005574475,-0.0023119038
2021-05-07,0.014805235,-0.00083919195,0.015644427
2021-05-10,0.032057945,-0.004685777,0.036743723
2021-05-11,0.03305484,-0.005384246,0.038439088
2021-05-12,0.037764978,-0.005815489,0.043580465
2021-05-14,0.033680797,-0.0044555804,0.038136378
2021-05-17,0.012905848,-0.0034216046,0.016327452
2021-05-18,-0.012475186,-0.0071001113,-0.0053750747
2021-05-19,-0.013520044,-0.0054648602,-0.008055184
2021-05-20,-0.004684204,-0.0034769073,-0.0012072965
2021-05-21,0.04606634,-0.0029528232,0.04901916
2021-05-24,0.087956086,-0.0031234846,0.09107957
2021-05-25,0.10480609,0.00047720736,0.10432888
2021-05-26,0.11735758,-0.00071847055,0.11807605
2021-05-27,0.11818733,0.0010438627,0.11714347
2021-05-28,0.04568455,0.0037510146,0.041933537
2021-05-31,0.031060494,0.012114211,0.018946283
2021-06-01,0.021070518,-0.004742727,0.025813244
2021-06-02,-0.011925121,-0.0034526435,-0.008472477
2021-06-03,-0.012060653,0.015596965,-0.027657619
2021-06-04,0.013862308,-0.006969888,0.020832196
2021-06-07,0.01137025,0.018220775,-0.006850525
2021-06-08,0.01952681,0.006409966,0.013116844
2021-06-09,0.02037249,0.0065703033,0.013802186
2021-06-10,0.01849472,-0.0017241521,0.020218872
2021-06-11,0.0056480304,-0.0011087784,0.0067568086
2021-06-14,-0.0034076578,0.0003389879,-0.0037466458
2021-06-15,-0.0107778525,-0.0042445906,-0.006533262
2021-06-16,-0.0028259943,-0.0018185788,-0.0010074155
2021-06-17,-0.028050395,0.0011173609,-0.029167756
2021-06-18,-0.054455947,-0.001596794,-0.052859154
2021-06-21,-0.06760531,-0.007764909,-0.0598404
2021-06-22,-0.061979122,-0.008654138,-0.053324983
2021-06-23,-0.042941052,-0.005830248,-0.037110806
2021-06-24,-0.025795177,-0.0010667141,-0.024728462
2021-06-25,0.011689518,-0.0005413146,0.012230832
2021-06-28,0.030776562,-0.003951351,0.034727912
2021-06-29,0.017722009,-0.0027541565,0.020476166
2021-06-30,-0.00028421223,-0.0013791493,0.0010949371
2021-07-01,-0.0025501847,-0.004954862,0.0024046772
2021-07-02,-0.027171746,-0.003731848,-0.023439897
2021-07-05,-0.030741265,-0.0028226557,-0.027918609
2021-07-06,-0.011812851,-0.0020647594,-0.009748092
2021-07-07,-0.01139785,-0.0019827732,-0.009415077
2021-07-08,-0.004898155,-0.0019768637,-0.0029212914
2021-07-09,0.019891877,-0.0037542912,0.023646168
2021-07-12,0.007125344,-0.0026755894,0.009800933
2021-07-13,-0.0028099886,-0.0027532927,-5.669589e-05
2021-07-14,0.016634667,-0.002175963,0.01881063
2021-07-15,0.011213272,0.0011855918,0.010027681
2021-07-16,-0.016829243,-0.0039371178,-0.012892125
2021-07-19,-0.020939067,-0.001471924,-0.019467143
2021-07-20,-0.026960485,-0.002899354,-0.02406113
2021-07-22,-0.031805526,-0.005087024,-0.026718503
2021-07-23,-0.033433117,-0.004507271,-0.028925845
2021-07-26,-0.002094461,-0.0045365375,0.0024420766
2021-07-27,0.015936706,-0.0026959188,0.018632624
2021-07-28,0.032591455,-0.0026076997,0.035199154
2021-07-29,0.0394497,-0.0006392304,0.04008893
2021-07-30,0.026408965,0.00052938337,0.02587958
2021-08-02,0.0022435787,-0.0006522078,0.0028957864
2021-08-03,0.00014366485,-0.0039893677,0.0041330326
2021-08-04,0.006440871,-0.004817126,0.011257997
2021-08-05,-0.011128013,-0.0029031127,-0.008224901
2021-08-06,0.02709357,-0.0042682732,0.031361844
2021-08-09,0.046385724,-0.002309451,0.048695177
2021-08-10,0.036493532,-0.0010192014,0.037512735
2021-08-11,0.02614174,-0.0018210661,0.027962806
2021-08-12,0.017886749,-0.0011373614,0.01902411
2021-08-13,0.007783245,-0.0018930566,0.009676302
2021-08-16,0.0046930057,-0.0013491783,0.006042184
2021-08-17,0.017719697,-0.0011103721,0.018830068
2021-08-18,0.026603382,-0.0030415242,0.029644907
2021-08-20,0.0368439,-0.0020783048,0.038922206
2021-08-23,0.049899444,-0.0013396614,0.051239107
2021-08-24,0.034093473,-0.0029154362,0.037008908
2021-08-25,0.029283443,-0.0024533505,0.031736795
2021-08-26,0.02867141,-0.0042957235,0.032967135
2021-08-27,0.07232653,0.0006296193,0.071696915
2021-08-30,0.06842862,0.0005485103,0.06788011
2021-08-31,0.08092907,0.0044992147,0.07642986
2021-09-01,0.072449505,-0.0013376456,0.07378715
2021-09-02,0.057182755,0.0013703735,0.05581238
2021-09-03,-0.0070964564,0.0061211004,-0.013217557
2021-09-06,-0.023561262,-0.0055360263,-0.018025234
2021-09-07,-0.025646288,-0.014542887,-0.011103401
2021-09-08,-0.001295522,-0.010369567,0.009074045
2021-09-09,-0.014450096,-0.00429523,-0.010154866
2021-09-13,0.0096138455,-0.0034304108,0.013044257
2021-09-14,0.01530544,0.004517164,0.010788276
2021-09-15,0.021948524,0.002236065,0.01971246
2021-09-16,0.025409747,0.0022733558,0.02313639
2021-09-17,0.03854758,-0.0019127616,0.04046034
2021-09-20,0.054336213,-0.00544442,0.05978063
2021-09-21,0.0596124,-0.0044273627,0.06403977
2021-09-22,0.040053472,-0.008824209,0.04887768
2021-09-23,0.011787524,-0.008056791,0.019844316
2021-09-24,0.016514301,-0.008828133,0.025342435
2021-09-27,0.012557358,-0.0064574657,0.019014824
2021-09-28,0.02399863,-0.0050640195,0.02906265
2021-09-29,0.012658906,-0.010068623,0.02272753
2021-09-30,0.02109772,-0.0025486287,0.02364635
2021-10-01,0.058465905,-0.001056142,0.059522048
2021-10-04,0.037751902,-0.0035006655,0.04125257
2021-10-05,0.022459088,0.0003003654,0.022158723
2021-10-06,0.05277646,0.009590904,0.043185554
2021-10-07,0.049758904,-0.0007883547,0.050547257
2021-10-08,0.0136078475,0.0001720859,0.013435761
2021-10-11,0.029856967,-0.00607496,0.035931926
2021-10-12,0.012219791,-0.010245762,0.022465553
2021-10-13,-0.02688358,-0.004819624,-0.022063956
2021-10-14,-0.027033085,0.006429601,-0.033462685
2021-10-18,-0.039075475,-0.0010161684,-0.038059305
2021-10-19,-0.025916498,-0.00027816516,-0.025638333
2021-10-20,-0.027033085,0.0022083602,-0.029241445
2021-10-21,-0.009113619,0.011664095,-0.020777714
2021-10-22,-0.034692008,0.006243189,-0.040935196
2021-10-25,-0.024598014,0.0052304207,-0.029828435
2021-10-26,-0.06022057,0.0109531,-0.07117367
2021-10-27,-0.054730758,0.0047764103,-0.05950717
2021-10-28,-0.038385957,0.0041717966,-0.042557754
2021-10-29,-0.013523815,0.004530881,-0.018054696
2021-11-01,-0.0063441736,0.011039979,-0.017384153
2021-11-02,0.019633695,0.011535706,0.0080979895
2021-11-03,0.02856738,0.008201174,0.020366205
2021-11-04,0.037717465,0.0046315067,0.033085957
2021-11-08,0.030316165,0.0025412848,0.02777488
2021-11-09,-0.0015069897,0.0008419052,-0.002348895
2021-11-10,-0.033687524,0.0008300532,-0.03451758
2021-11-11,-0.0318062,0.0017846982,-0.033590898
2021-11-12,-0.08844619,0.0056531182,-0.09409931
2021-11-15,-0.07446265,-0.0010613758,-0.07340128
2021-11-16,-0.06612644,0.0019736632,-0.06810011
2021-11-17,0.011749088,0.002439959,0.009309129
2021-11-18,-0.024541926,0.0037931204,-0.028335046
2021-11-22,0.032892544,0.0048633837,0.02802916
2021-11-23,0.008194053,0.0062977234,0.0018963292
2021-11-24,0.04916217,0.0009562232,0.04820595
2021-11-25,-0.0040513896,0.011798075,-0.015849466
2021-11-26,-0.0018030957,0.0074190865,-0.009222182
2021-11-29,-0.032316256,0.005471654,-0.03778791
2021-11-30,-0.0097904,0.007842309,-0.017632708
2021-12-01,-0.019821784,0.008545332,-0.028367115
2021-12-02,-0.010632953,0.017364021,-0.027996974
2021-12-03,0.021052616,0.0096181575,0.011434458
2021-12-06,0.019914512,0.019137044,0.0007774681
2021-12-07,-0.000713767,0.02085698,-0.021570748
2021-12-08,-0.0185682,0.010729771,-0.02929797
2021-12-09,-0.021392776,0.008307591,-0.029700367
2021-12-10,-0.048191212,0.00366196,-0.051853172
2021-12-13,-0.054904155,0.0019782288,-0.056882385
2021-12-14,-0.028947769,0.004686544,-0.033634312
2021-12-15,-0.002991859,0.008292984,-0.011284843
2021-12-16,-0.0160779,0.0060150772,-0.022092978
2021-12-17,0.01382198,0.008597449,0.0052245306
2021-12-20,0.04079292,0.017566392,0.023226527
2021-12-21,0.037706986,0.015354078,0.022352908
2021-12-22,0.015384024,0.118207864,-0.10282384
2021-12-23,-0.0026000494,0.007074522,-0.009674571
2021-12-24,-0.001959633,0.007581578,-0.009541212
2021-12-27,0.014175765,0.011150558,0.0030252077
2021-12-28,0.024891451,0.0068106586,0.018080793
2021-12-29,0.027929189,0.008925364,0.019003823
2021-12-30,0.024331184,0.008631765,0.01569942
2021-12-31,0.02865105,5.099779e-05,0.028600052
2022-01-03,0.01420641,-0.0022523727,0.016458783
2022-01-04,-0.0010372754,-0.0025948773,0.0015576018
2022-01-05,0.020853678,-0.0069292127,0.027782891
2022-01-06,0.049162004,-0.004238735,0.05340074
2022-01-07,0.042282406,-0.0017627795,0.044045188
2022-01-10,0.046862055,0.0063866675,0.040475387
2022-01-11,0.026979575,-0.0048123263,0.031791903
2022-01-12,0.00019824851,-0.005542477,0.0057407254
2022-01-13,-0.022817658,-0.006322433,-0.016495226
2022-01-14,-0.024084276,-0.0067525874,-0.017331688
2022-01-17,-0.06831224,-0.0076992335,-0.06061301
2022-01-18,-0.05890624,-0.006265572,-0.052640665
2022-01-19,-0.07277141,-0.002532185,-0.07023922
2022-01-20,-0.05715563,-0.0012838359,-0.055871796
2022-01-21,-0.036826108,-6.8972135e-05,-0.036757134
2022-01-24,0.0003365479,0.0037564235,-0.0034198756
2022-01-25,0.004339947,0.003909334,0.00043061282
2022-01-27,0.006265857,0.0065951427,-0.00032928586
2022-01-28,-0.0019479063,0.0036388899,-0.0055867964
2022-01-31,-0.029120991,-0.0031706605,-0.025950331
2022-02-01,-0.009522127,0.008708162,-0.01823029
2022-02-02,-2.0935142e-05,-0.009610909,0.009589974
2022-02-03,0.012028698,0.007816281,0.0042124167
2022-02-04,0.019345386,0.004710833,0.014634553
2022-02-07,0.009257262,-0.0063536675,0.01561093
2022-02-08,0.026272826,-0.00625252,0.032525346
2022-02-09,0.012355818,-0.0012832066,0.013639025
2022-02-10,0.026227834,-0.008291421,0.034519255
2022-02-11,0.020198733,-0.011508817,0.031707548
2022-02-14,0.026234135,-0.0065625836,0.03279672
2022-02-15,-0.011972961,-0.0024883011,-0.00948466
2022-02-16,-0.01612133,-0.001914149,-0.014207181
2022-02-17,-0.07683647,-0.0029076426,-0.073928826
2022-02-18,-0.057931796,-0.0025983497,-0.055333447
2022-02-21,-0.016813206,-0.001756756,-0.01505645
2022-02-22,0.003997463,-0.001248149,0.005245612
2022-02-23,0.0017902238,-0.002871617,0.004661841
2022-02-24,0.030943071,-0.0027046672,0.03364774
2022-02-25,-0.019440101,-0.0033277203,-0.016112382
2022-02-28,-0.05257367,0.0007655068,-0.053339176
2022-03-02,-0.018531973,-0.003175598,-0.015356375
2022-03-03,0.005865416,-0.0024751462,0.008340562
2022-03-04,0.03164832,0.010566413,0.021081906
2022-03-07,0.080060445,0.029718567,0.050341878
2022-03-08,0.057235602,0.012975956,0.044259645
2022-03-09,0.020921024,0.01750594,0.0034150835
2022-03-10,0.037391674,0.0075321123,0.029859561
2022-03-11,0.028447686,0.017042104,0.011405582
2022-03-14,0.0464273,0.0025570712,0.043870226
2022-03-15,0.07436165,0.01693248,0.057429172
2022-03-16,0.07293969,0.022513798,0.050425887
2022-03-17,0.04599676,0.01510998,0.03088678
2022-03-21,0.062636815,0.016412985,0.04622383
2022-03-22,0.0361101,0.010279403,0.025830697
2022-03-23,0.052674007,0.008474904,0.0441991
2022-03-24,0.021755632,0.0005540475,0.021201584
2022-03-25,0.023113659,0.0040574973,0.019056162
2022-03-28,0.015923325,-0.0021494385,0.018072763
2022-03-29,0.0013345681,0.008936351,-0.007601783
2022-03-30,-0.020164985,0.0043581696,-0.024523154
2022-03-31,-0.023493621,0.0067273104,-0.030220931
2022-04-01,-0.015136213,0.0039253286,-0.019061541
2022-04-04,-0.02008484,0.0034890438,-0.023573883
2022-04-05,-0.024752023,0.006739685,-0.031491708
2022-04-06,-0.025734553,-0.0015801552,-0.024154399
2022-04-07,-0.01127162,0.00011230842,-0.011383928
2022-04-08,0.009615038,-0.0009374304,0.010552468
2022-04-11,0.041471772,0.0013259667,0.040145807
2022-04-12,0.086312175,0.0014154939,0.08489668
2022-04-13,0.08118287,0.0018986177,0.07928425
2022-04-18,0.05941788,-0.0011041997,0.06052208
2022-04-19,0.051064096,0.0009045552,0.05015954
2022-04-20,0.022034738,-0.009413131,0.03144787
2022-04-21,0.013569026,-0.017748527,0.031317554
2022-04-22,0.011399926,-0.0020924017,0.013492327
2022-04-25,0.031706832,0.00026481756,0.031442016
2022-04-26,-0.02954267,0.0036402075,-0.033182878
2022-04-27,-0.049471885,0.020495381,-0.06996727
2022-04-28,-0.070642166,0.015038151,-0.08568032
2022-04-29,-0.09746444,0.007906273,-0.105370715
2022-05-02,-0.109982215,0.00876746,-0.11874968
2022-05-04,-0.0907133,0.0074881995,-0.0982015
2022-05-05,-0.09144608,0.012054074,-0.10350015
2022-05-06,-0.07404658,0.013628109,-0.08767469
2022-05-09,-0.036175255,0.024337148,-0.0605124
2022-05-10,0.022023264,0.037885234,-0.01586197
2022-05-11,0.036357306,0.017907111,0.018450195
2022-05-12,0.03352921,0.019943396,0.013585815
2022-05-13,0.08153388,0.031778496,0.049755383
2022-05-16,0.07403601,0.014217583,0.059818424
2022-05-17,0.034280438,0.017406235,0.016874203
2022-05-18,0.029014984,0.0276503,0.0013646837
2022-05-19,0.04324859,0.029447127,0.013801463
2022-05-20,-0.018803934,0.026299665,-0.0451036
2022-05-23,0.0222102,0.06932568,-0.04711548
2022-05-24,0.0064222524,0.033706088,-0.027283836
2022-05-25,0.008231203,0.033947345,-0.02571614
2022-05-26,0.05303253,0.04772035,0.0053121783
2022-05-27,0.079375505,0.063052,0.016323507
2022-05-30,0.038558308,0.03740483,0.0011534765
2022-05-31,0.053216454,0.06503287,-0.011816416
2022-06-01,0.034383964,0.020579403,0.0138045605
2022-06-02,0.02732799,0.018540379,0.0087876115
2022-06-03,-0.023475382,0.015966548,-0.03944193
2022-06-06,-0.037813272,0.020611633,-0.058424905
2022-06-07,-0.052168436,0.010893958,-0.06306239
